GENE	Class
gb|Y10281.1|+|0-861|ARO:3000918|TEM-49	penam, cephalosporin, penem, monobactam
gb|FJ820124.1|+|1123-1987|ARO:3002339|GES-10	penam, cephalosporin, carbapenem
gb|AB983359.1|+|2425-3268|ARO:3003116|OXA-420	penam, carbapenem
gb|GQ202693.1|+|1171-1999|ARO:3001799|OXA-161	penam, cephalosporin
gb|FJ873740.1|+|0-858|ARO:3001035|TEM-169	penam, cephalosporin, penem, monobactam
gb|FN594949.1|+|27481-28339|ARO:3002629|ANT(6)-Ib	aminoglycoside
gb|AF078527.1|+|4387-4840|ARO:3002847|arr-2	rifamycin
gb|JX089628.1|+|0-801|ARO:3001499|OXA-240	penam, cephalosporin
gb|DQ105529.2|+|0-861|ARO:3001013|TEM-146	penam, cephalosporin, penem, monobactam
gb|AF244145.1|+|0-741|ARO:3002195|IMP-4	penem, cephamycin, penam, cephalosporin, carbapenem
gb|AF170880.4|+|0-1848|ARO:3002522|novA	aminocoumarin
gb|X97254.1|+|153-1011|ARO:3001043|TEM-178	penam, cephalosporin, penem, monobactam
gb|AM049399.1|+|0-861|ARO:3001007|TEM-144	penam, cephalosporin, penem, monobactam
gb|AY589495.1|+|181-1042|ARO:3000977|TEM-114	penam, cephalosporin, penem, monobactam
gb|BA000007.3|-|1737690-1738104|ARO:3000676|H-NS	multidrug
gb|FJ196385.1|-|11083-12313|ARO:3003107|mef(B)	macrolide
gb|EU722333.1|+|1932-3852|ARO:3000196|tet(32)	tetracycline
gb|JN118546.1|+|1761-2562|ARO:3001500|OXA-251	penam, cephalosporin
gb|Z22590.1|+|154-955|ARO:3001406|OXA-11	penam, cephalosporin
gb|AB114632.1|+|655-1453|ARO:3002607|aadA7	aminoglycoside
gb|AY130284.1|+|0-783|ARO:3000941|TEM-75	penam, cephalosporin, penem, monobactam
gb|HQ875573.1|+|0-741|ARO:3002229|IMP-38	penem, cephamycin, penam, cephalosporin, carbapenem
gb|AF427127.1|+|208-1069|ARO:3000948|TEM-81	penam, cephalosporin, penem, monobactam
gb|AF242872.1|+|2131-2878|ARO:3000375|ErmB	multidrug
gb|AF205943.1|+|7511-8312|ARO:3001405|OXA-10	penam, cephalosporin
gb|AJ854182.1|+|0-801|ARO:3001798|OXA-74	penam, cephalosporin
gb|M55620.1|+|0-660|ARO:3002687|catQ	phenicol
gb|AF347054.1|+|208-1069|ARO:3000947|TEM-80	penam, cephalosporin, penem, monobactam
gb|JQ028729.1|+|0-864|ARO:3002347|GES-18	penam, cephalosporin, carbapenem
gb|AJ634602.1|-|7839-8700|ARO:3000999|TEM-135	penam, cephalosporin, penem, monobactam
gb|AY487229.1|+|2152-2893|ARO:3000602|Erm(39)	multidrug
gb|KJ865754.1|+|0-828|ARO:3001606|OXA-415	penam, cephalosporin
gb|AY368236.1|+|0-861|ARO:3000989|TEM-127	penam, cephalosporin, penem, monobactam
gb|Y10280.1|+|0-861|ARO:3000917|TEM-48	penam, cephalosporin, penem, monobactam
gb|EU274580.1|+|214-1075|ARO:3001030|TEM-164	penam, cephalosporin, penem, monobactam
gb|AY027870.1|+|46-946|ARO:3002371|VEB-2	cephalosporin, monobactam
gb|KJ420612.1|+|1821-2622|ARO:3001409|OXA-14	penam, cephalosporin
gb|DQ157752.1|+|797-1664|ARO:3002241|CARB-2	penam
gb|AF472622.2|+|52-1018|ARO:3003003|CfxA3	cephamycin
gb|KF711993.1|+|0-801|ARO:3001807|OXA-246	penam, cephalosporin
gb|KC865667.1|+|183-1044|ARO:3001385|TEM-208	penam, cephalosporin, penem, monobactam
gb|X03988.1|+|382-1642|ARO:3000363|EreB	macrolide
gb|AF516720.1|+|214-1075|ARO:3000968|TEM-105	penam, cephalosporin, penem, monobactam
gb|JN416112.1|+|0-861|ARO:3001050|TEM-190	penam, cephalosporin, penem, monobactam
gb|KP050492.1|+|0-861|ARO:3001392|TEM-215	penam, cephalosporin, penem, monobactam
gb|JN254627.1|+|0-861|ARO:3001049|TEM-189	penam, cephalosporin, penem, monobactam
gb|L42544.1|+|0-1956|ARO:3000193|tet(T)	tetracycline
gb|FJ589781.1|+|1302-1803|ARO:3004601|LnuP	lincosamide
gb|AE004091.2|+|179521-182569|ARO:3003681|TriC	macrolide
gb|AP014611.1|-|149223-150153|ARO:3003204|TLA-3	cephalosporin, monobactam
gb|U00096.3|-|721055-721733|ARO:3003841|kdpE	aminoglycoside
gb|EU022314.1|+|0-861|ARO:3004623|AAC(3)-IId	aminoglycoside
gb|AM040708.1|+|1173-1965|ARO:3004704|aadA8b	aminoglycoside
gb|AE004091.2|-|2847775-2850886|ARO:3004075|MuxC	multidrug
gb|AM412317.1|-|3035492-3036527|ARO:3004146|cfrC	multidrug
gb|KU736867.1|+|19653-21573|ARO:3004442|tet(W/N/W)	tetracycline
gb|CP010314.1|+|275837-276758|ARO:3004541|mphK	macrolide
gb|NG_057581.1|+|0-861|ARO:3005264|TEM-233	penam, cephalosporin, penem, monobactam
gb|FM877476.1|+|115-589|ARO:3004551|dfrA28	diaminopyrimidine
gb|NG_054696.1|+|0-861|ARO:3005258|TEM-227	penam, cephalosporin, penem, monobactam
gb|AF002716.1|+|210-942|ARO:3005099|Spyo_ErmA_MLSb	streptogramin, macrolide, lincosamide 
gb|HQ170516.1|+|426-1026|ARO:3005112|AAC(6')-Ib-cr3	aminoglycoside
gb|NG_068038.1|+|0-861|ARO:3005259|TEM-228	penam, cephalosporin, penem, monobactam
gb|NG_056417.1|+|0-861|ARO:3005261|TEM-230	penam, cephalosporin, penem, monobactam
gb|LLMY01000078.1|+|2375-3203|ARO:3005222|OXA-544	penam, cephalosporin
gb|NG_050261.1|+|100-961|ARO:3000902|TEM-32	penam, cephalosporin, penem, monobactam
gb|NG_068214.1|+|100-961|ARO:3000907|TEM-37	penam, cephalosporin, penem, monobactam
gb|NG_050243.1|+|100-961|ARO:3001387|TEM-210	penam, cephalosporin, penem, monobactam
gb|NG_050254.1|+|0-861|ARO:3005255|TEM-224	penam, cephalosporin, penem, monobactam
gb|NG_052651.1|+|0-861|ARO:3005256|TEM-225	penam, cephalosporin, penem, monobactam
gb|NG_057609.1|+|0-861|ARO:3005265|TEM-234	penam, cephalosporin, penem, monobactam
gb|NG_067163.1|+|0-861|ARO:3005269|TEM-238	penam, cephalosporin, penem, monobactam
gb|NG_066544.1|+|0-861|ARO:3005270|TEM-240	penam, cephalosporin, penem, monobactam
gb|KJ138219.1|+|118-946|ARO:3005314|OXA-540	penam, cephalosporin
gb|NG_052064.1|+|0-831|ARO:3005317|OXA-539	penam, cephalosporin
gb|LLTZ01000057.1|+|2151-2979|ARO:3005318|OXA-543	penam, cephalosporin
gb|NG_062301.1|+|0-825|ARO:3005319|OXA-681	penam, cephalosporin
gb|FM179467.1|+|1938-2766|ARO:3005321|OXA-541	penam, cephalosporin
gb|NG_048715.1|+|1-867|ARO:3005559|CARB-11	penam
gb|NG_049080.1|+|101-1234|ARO:3006875|EC-14	cephalosporin
gb|NG_049082.1|+|101-1234|ARO:3006877|EC-16	cephalosporin
gb|NG_049083.1|+|101-1234|ARO:3006878|EC-18	cephalosporin
gb|NG_049086.1|+|101-1234|ARO:3006881|EC-8	cephalosporin
gb|NG_062215.1|+|1-864|ARO:3006167|GES-38	penam, cephalosporin, carbapenem
gb|NG_070736.1|+|1-864|ARO:3006174|GES-45	penam, cephalosporin, carbapenem
gb|NG_071202.1|+|1-864|ARO:3006175|GES-46	penam, cephalosporin, carbapenem
gb|NG_051166.1|+|1-741|ARO:3005468|IMP-61	penem, cephamycin, penam, cephalosporin, carbapenem
gb|NG_062252.1|+|101-901|ARO:3005870|OXA-655	penam, cephalosporin
gb|NG_062253.1|+|101-901|ARO:3005871|OXA-656	penam, cephalosporin
gb|NG_064780.1|+|1-801|ARO:3006021|OXA-823	penam, cephalosporin
gb|NG_065438.1|+|1-801|ARO:3006024|OXA-827	penam, cephalosporin
gb|NG_065881.1|+|1-807|ARO:3006032|OXA-836	penam, cephalosporin
gb|NG_070899.1|+|1-801|ARO:3006115|OXA-932	aminoglycoside
gb|NG_063894.1|+|1-900|ARO:3006215|VEB-20	cephalosporin, monobactam
gb|NG_065941.1|+|1-900|ARO:3006217|VEB-22	cephalosporin, monobactam
gb|NG_067164.1|+|1-900|ARO:3006218|VEB-23	cephalosporin, monobactam
gb|AJ584652.2|+|1926-2913|ARO:3002599|AAC6_30_AAC6_Ib	aminoglycoside
gb|GQ343019.1|+|132-1023|ARO:3002999|CblA-1	cephalosporin
gb|AF028812.1|+|392-887|ARO:3002867|dfrF	diaminopyrimidine
gb|JN967644.1|+|0-813|ARO:3002356|NDM-6	penam, cephamycin, cephalosporin, carbapenem
gb|AY628199.1|+|203-1064|ARO:3000988|TEM-126	penam, cephalosporin, penem, monobactam
gb|AF157553.1|+|147-1008|ARO:3000938|TEM-72	penam, cephalosporin, penem, monobactam
gb|GQ140348.1|+|0-882|ARO:3002320|KPC-10	penam, cephalosporin, monobactam, carbapenem
gb|JN861780.1|+|0-825|ARO:3001711|OXA-212	penam, carbapenem
gb|AY536519.1|+|37-937|ARO:3002372|VEB-3	cephalosporin, monobactam
gb|KM087853.1|+|0-1140|ARO:3002146|DHA-15	cephamycin, cephalosporin
gb|U12338.3|+|5055-5520|ARO:3002528|AAC(3)-Ia	aminoglycoside
gb|AF525303.2|+|2770-3586|ARO:3001808|OXA-60	penam, carbapenem
gb|AM231719.1|+|0-825|ARO:3001650|OXA-90	penam, carbapenem
gb|L06161.1|+|105-945|ARO:3002538|AAC(3)-IIIc	aminoglycoside
gb|GQ152600.1|+|0-1152|ARO:3002188|MOX-5	cephalosporin, cephamycin, penam
gb|KC292503.1|+|4334-5195|ARO:3000904|TEM-34	penam, cephalosporin, penem, monobactam
gb|AF527798.1|+|0-783|ARO:3000879|TEM-7	penam, cephalosporin, penem, monobactam
gb|HE616889.1|+|1826-2627|ARO:3001502|OXA-256	penam, cephalosporin
gb|HQ631376.1|+|0-657|ARO:3002795|QnrS6	fluoroquinolone
gb|AF535129.1|+|0-861|ARO:3001099|SHV-41	penam, carbapenem, cephalosporin
gb|AY491682.1|+|0-861|ARO:3000996|TEM-132	penam, cephalosporin, penem, monobactam
gb|KF361506.1|+|0-813|ARO:3002360|NDM-10	penam, cephamycin, cephalosporin, carbapenem
gb|Z50108.1|+|238-1768|ARO:3003026|fusH	fusidane 
gb|JX982636.1|+|0-801|ARO:3002307|VIM-37	penem, cephalosporin, penam, cephamycin, carbapenem
gb|EU748544.1|+|0-927|ARO:3002366|PER-4	penem, cephalosporin, carbapenem, penam, monobactam
gb|AB753456.1|+|0-741|ARO:3002233|IMP-42	penem, cephamycin, penam, cephalosporin, carbapenem
gb|AJ698325.1|-|14502-15417|ARO:3003203|TLA-2	cephalosporin, monobactam
gb|U14749.1|+|690-1557|ARO:3002243|CARB-4	penam
gb|AF031329.1|+|0-441|ARO:3002565|AAC(6')-Iu	aminoglycoside
gb|EF420108.1|+|37-937|ARO:3002375|VEB-5	cephalosporin, monobactam
gb|Z50802.3|+|717-1215|ARO:3003012|dfrA13	diaminopyrimidine
gb|AF250872.1|+|0-861|ARO:3000954|TEM-87	penam, cephalosporin, penem, monobactam
gb|DQ143913.1|+|1774-2575|ARO:3002282|VIM-12	penem, cephalosporin, penam, cephamycin, carbapenem
gb|AY138986.1|+|0-789|ARO:3002604|aadA4	aminoglycoside
gb|JX013656.1|+|0-801|ARO:3002304|VIM-34	penem, cephalosporin, penam, cephamycin, carbapenem
gb|X63451.1|+|0-1653|ARO:3002828|srmB	macrolide
gb|CT025801.2|+|0-3180|ARO:3000777|adeF	tetracycline, fluoroquinolone 
gb|JN935137.1|+|0-861|ARO:3001055|TEM-195	penam, cephalosporin, penem, monobactam
gb|FJ234412.1|+|0-882|ARO:3002318|KPC-8	penam, cephalosporin, monobactam, carbapenem
gb|JX311308.1|+|0-801|ARO:3002299|VIM-29	penem, cephalosporin, penam, cephamycin, carbapenem
gb|EU523697.1|+|686-1973|ARO:3000572|tet(42)	tetracycline
gb|L06940.1|+|0-1218|ARO:3000173|tet(E)	tetracycline
gb|X59968.1|+|507-1686|ARO:3002690|Sliv_cmlR	phenicol
gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2	cephamycin
gb|KM087849.1|+|0-1140|ARO:3002150|DHA-19	cephamycin, cephalosporin
gb|GU207844.1|+|0-864|ARO:3002343|GES-14	penam, cephalosporin, carbapenem
gb|HM440348.1|+|775-1861|ARO:3000549|adeS	tetracycline, glycylcycline
gb|AJ401618.1|+|1971-3144|ARO:3002514|OCH-1	penam, cephamycin, penem, cephalosporin, monobactam
gb|JX423831.1|+|2676-3474|ARO:3001778|OXA-232	penam, carbapenem
gb|U10251.1|+|180-975|ARO:3001407|OXA-12	penam, carbapenem
gb|AY853593.1|+|214-1075|ARO:3001002|TEM-138	penam, cephalosporin, penem, monobactam
gb|AJ295341.1|+|0-1173|ARO:3002516|OCH-3	penam, cephamycin, penem, cephalosporin, monobactam
gb|KP096412.1|+|0-801|ARO:3003179|VIM-43	penem, cephalosporin, penam, cephamycin, carbapenem
gb|V01499.1|+|230-1256|ARO:3002655|APH(4)-Ia	aminoglycoside
gb|AY070258.1|+|0-861|ARO:3001093|SHV-35	penam, carbapenem, cephalosporin
gb|KC783461.1|+|0-861|ARO:3001383|TEM-206	penam, cephalosporin, penem, monobactam
gb|AB113580.1|+|1329-2193|ARO:3002332|GES-3	penam, cephalosporin, carbapenem
gb|NZ_SQNR01000043.1|+|1505-2381|ARO:3001948|CTX-M-88	cephalosporin
gb|EF653400.1|+|434-1259|ARO:3001644|OXA-113	penam, carbapenem
gb|AJ548797.1|+|923-1688|ARO:3003094|imiH	macrolide
gb|JX121119.1|+|0-858|ARO:3001191|SHV-152	penam, carbapenem, cephalosporin
gb|AY524987.1|+|0-801|ARO:3002278|VIM-8	penem, cephalosporin, penam, cephamycin, carbapenem
gb|AF167990.3|+|612-1761|ARO:3002019|CMY-8	cephamycin
gb|FJ825622.1|+|0-900|ARO:3002376|VEB-7	cephalosporin, monobactam
gb|AY874537.1|+|177-1038|ARO:3000883|TEM-11	penam, cephalosporin, penem, monobactam
gb|AF091113.2|+|450-1311|ARO:3000934|TEM-67	penam, cephalosporin, penem, monobactam
gb|AY769933.1|+|0-966|ARO:3003005|CfxA4	cephamycin
gb|FJ790516.1|+|1287-2085|ARO:3001804|OXA-145	penam, cephalosporin
gb|GQ242167.1|+|0-801|ARO:3002293|VIM-23	penem, cephalosporin, penam, cephamycin, carbapenem
gb|NG_048575.1|+|100-502|ARO:3002583|AAC(6')-29a	aminoglycoside
gb|AF259520.1|+|1512-2652|ARO:3002133|DHA-2	cephamycin, cephalosporin
gb|AE004091.2|+|2813193-2814612|ARO:3000805|OprN	multidrug
gb|AY028464.1|+|442-1189|ARO:3000840|JOHN-1	penam, cephalosporin, carbapenem
gb|AF155139.1|+|1511-2207|ARO:3002925|vanR_in_vanF_cl	glycopeptide
gb|X80277.1|+|0-1149|ARO:3003553|CepS	cephalosporin
gb|DQ212986.1|+|7030-7795|ARO:3003069|vanXY_in_vanG	glycopeptide
gb|AB015853.1|+|145-1315|ARO:3003034|mexX	multidrug
gb|MH450214.1|+|0-813|ARO:3004866|NDM-23	penam, cephamycin, cephalosporin, carbapenem
gb|AJ223604.1|+|1484-2225|ARO:3002192|IMP-1	penem, cephamycin, penam, cephalosporin, carbapenem
gb|AF173226.1|-|1037-2441|ARO:3003067|smeS	penam, cephalosporin, aminoglycoside, cephamycin
gb|AF294653.1|+|753-1584|ARO:3001425|OXA-31	penam, cephalosporin
gb|FJ981622.1|+|0-681|ARO:3002738|QnrB23	fluoroquinolone
gb|AL513383.1|+|161910-162771|ARO:3000873|TEM-1	penam, cephalosporin, penem, monobactam
gb|DQ679961.1|+|114-975|ARO:3001021|TEM-155	penam, cephalosporin, penem, monobactam
gb|AY743435.1|+|13-1159|ARO:3002169|MIR-3	cephalosporin, monobactam
gb|DQ485529.1|+|0-657|ARO:3002790|QnrS1	fluoroquinolone
gb|JX131372.1|+|1478-2279|ARO:3001797|OXA-46	penam
gb|EF614235.1|+|2948-3749|ARO:3002272|VIM-2	penem, cephalosporin, penam, cephamycin, carbapenem
gb|FJ196385.1|-|8531-9323|ARO:3000413|sul3	sulfonamide
gb|GU371926.1|-|50304-51165|ARO:3000903|TEM-33	penam, cephalosporin, penem, monobactam
gb|JQ809466.1|+|5374-6172|ARO:3001788|OXA-204	penam, carbapenem
gb|X54606.1|+|214-1075|ARO:3000874|TEM-2	penam, cephalosporin, penem, monobactam
gb|HQ317449.1|+|0-861|ARO:3001373|TEM-182	penam, cephalosporin, penem, monobactam
gb|AJ295345.1|+|0-1173|ARO:3002520|OCH-7	penam, cephamycin, penem, cephalosporin, monobactam
gb|DQ348075.1|+|0-825|ARO:3001704|OXA-87	penam, carbapenem
gb|AY165025.1|+|0-801|ARO:3002276|VIM-6	penem, cephalosporin, penam, cephamycin, carbapenem
gb|EU085533.1|+|0-519|ARO:3002591|AAC_6_IB_Su	aminoglycoside
gb|AY123251.1|+|811-1444|ARO:3002680|catB8	phenicol
gb|AB205645.1|+|1012-1510|ARO:3002868|dfrG	diaminopyrimidine
gb|AB551737.1|+|14-875|ARO:3001177|SHV-133	penam, carbapenem, cephalosporin
gb|GQ891757.1|+|2004-2661|ARO:3002801|QnrVC4	fluoroquinolone
gb|HM440348.1|+|0-744|ARO:3000553|adeR	multidrug
gb|U59183.1|+|939-1740|ARO:3001408|OXA-13	penam, cephalosporin
gb|LC012596.1|+|3585-4398|ARO:3003182|NDM-13	penam, cephamycin, cephalosporin, carbapenem
gb|JN129451.1|+|1036-1867|ARO:3001399|OXA-4	penam, cephalosporin
gb|DQ834729.1|+|205-1066|ARO:3001018|TEM-151	penam, cephalosporin, penem, monobactam
gb|AY368237.1|+|0-861|ARO:3000990|TEM-128	penam, cephalosporin, penem, monobactam
gb|X13543.1|+|185-1046|ARO:3002533|AAC(3)-IIa	aminoglycoside
gb|JQ041634.1|+|1122-1863|ARO:3002220|IMP-29	penem, cephamycin, penam, cephalosporin, carbapenem
gb|JN129451.1|+|87-888|ARO:3002300|VIM-30	penem, cephalosporin, penam, cephamycin, carbapenem
gb|KY432484.1|+|0-861|ARO:3001051|TEM-191	penam, cephalosporin, penem, monobactam
gb|AE004091.2|+|472023-473175|ARO:3000377|MexA	multidrug
gb|AF070999.1|+|1679-2855|ARO:3000182|tet(Y)	tetracycline
gb|AM260957.1|+|4186-5086|ARO:3003071|mphF	macrolide
gb|AF034958.3|+|2641-3871|ARO:3002698|cmlB	phenicol
gb|AY768532.1|+|0-1935|ARO:3000535|macB	macrolide
gb|AE004091.2|+|4710620-4712084|ARO:3000809|OpmD	multidrug
gb|AF427130.1|+|208-1069|ARO:3000951|TEM-84	penam, cephalosporin, penem, monobactam
gb|AF290912.1|+|0-741|ARO:3002196|IMP-5	penem, cephamycin, penam, cephalosporin, carbapenem
gb|MH450215.1|+|0-813|ARO:3004867|NDM-24	penam, cephamycin, cephalosporin, carbapenem
gb|FR748153.1|+|259-1060|ARO:3002296|VIM-26	penem, cephalosporin, penam, cephamycin, carbapenem
gb|DQ267940.1|+|53-512|ARO:3003020|dfrA25	diaminopyrimidine
gb|AY079099.1|+|148-1009|ARO:3001096|SHV-38	penam, carbapenem, cephalosporin
gb|DQ489307.1|+|1070-2243|ARO:3002521|OCH-8	penam, cephamycin, penem, cephalosporin, monobactam
gb|CT025802.2|+|0-1452|ARO:3000779|adeH	multidrug
gb|AY101578.1|+|214-1075|ARO:3000969|TEM-106	penam, cephalosporin, penem, monobactam
gb|JX023441.1|+|37-901|ARO:3002351|GES-22	penam, cephalosporin, carbapenem
gb|AF148067.1|+|213-1158|ARO:3003202|TLA-1	cephalosporin, monobactam
gb|EF660563.1|+|392-845|ARO:3002850|arr-5	rifamycin
gb|AY101764.1|+|206-1067|ARO:3000970|TEM-107	penam, cephalosporin, penem, monobactam
gb|JX982634.1|+|0-801|ARO:3002305|VIM-35	penem, cephalosporin, penam, cephamycin, carbapenem
gb|HM246246.1|+|211-1069|ARO:3001047|TEM-187	penam, cephalosporin, penem, monobactam
gb|DQ361087.2|+|356-1097|ARO:3002213|IMP-22	penem, cephamycin, penam, cephalosporin, carbapenem
gb|M18967.1|+|756-1314|ARO:3002545|AAC(6')-Ia	aminoglycoside
gb|L06157.1|+|554-1085|ARO:3002530|AAC(3)-Ib	aminoglycoside
gb|JX262694.1|+|0-813|ARO:3002357|NDM-7	penam, cephamycin, cephalosporin, carbapenem
gb|GQ414736.1|+|0-801|ARO:3002290|VIM-20	penem, cephalosporin, penam, cephamycin, carbapenem
gb|AJ012256.1|+|208-1069|ARO:3000939|TEM-73	penam, cephalosporin, penem, monobactam
gb|DQ105528.2|+|0-861|ARO:3001012|TEM-145	penam, cephalosporin, penem, monobactam
gb|JYFL01000006.1|-|112069-113503|ARO:3002813|lmrB	nucleoside, lincosamide 
gb|CP001172.1|-|1249018-1249348|ARO:3000768|abeS	multidrug
gb|AM176550.2|+|30-891|ARO:3001129|SHV-75	penam, carbapenem, cephalosporin
gb|AF174129.3|+|1351-1825|ARO:3003014|dfrA16	diaminopyrimidine
gb|AJ605332.1|+|1303-1813|ARO:3003016|dfrA20	diaminopyrimidine
gb|EU419746.1|+|0-801|ARO:3002286|VIM-16	penem, cephalosporin, penam, cephamycin, carbapenem
gb|EF136375.1|+|0-900|ARO:3002373|VEB-4	cephalosporin, monobactam
gb|JN861779.1|+|0-825|ARO:3001710|OXA-211	penam, carbapenem
gb|AB744718.1|+|0-813|ARO:3002358|NDM-8	penam, cephamycin, cephalosporin, carbapenem
gb|AB091338.1|+|173-1355|ARO:3003551|emeA	disinfecting agents and antiseptics
gb|KF151169.1|+|0-831|ARO:3001793|OXA-320	penam, cephalosporin
gb|HQ456945.1|+|0-1140|ARO:3002136|DHA-7	cephamycin, cephalosporin
gb|FJ495083.1|+|732-1365|ARO:3003110|catB10	phenicol
gb|JF900599.1|+|0-801|ARO:3002298|VIM-28	penem, cephalosporin, penam, cephamycin, carbapenem
gb|AY769962.1|+|2434-5611|ARO:3000781|adeJ	multidrug
gb|Y17582.1|+|0-858|ARO:3000892|TEM-21	penam, cephalosporin, penem, monobactam
gb|AJ252200.1|+|4493-5894|ARO:3003057|smeF	multidrug
gb|AF030945.1|+|95-962|ARO:3002245|CARB-6	penam
gb|AJ250203.1|+|1650-2883|ARO:3000476|tet(31)	tetracycline
gb|JX206446.1|+|0-828|ARO:3001610|OXA-243	penam
gb|NG_048576.1|+|100-502|ARO:3002584|AAC(6')-29b	aminoglycoside
gb|AY144612.1|+|0-801|ARO:3002275|VIM-5	penem, cephalosporin, penam, cephamycin, carbapenem
gb|AF093512.1|+|197-1058|ARO:3000882|TEM-10	penam, cephalosporin, penem, monobactam
gb|AF201826.1|+|21-849|ARO:3001420|OXA-25	penam, carbapenem
gb|AY243512.1|+|208-1069|ARO:3000982|TEM-120	penam, cephalosporin, penem, monobactam
gb|FJ418153.1|+|0-657|ARO:3002793|QnrS4	fluoroquinolone
gb|S81599.1|+|281-1076|ARO:3002651|APH(3')-Vc	aminoglycoside
gb|AJ276453.1|+|4619-5768|ARO:3002183|MOX-2	cephalosporin, cephamycin, penam
gb|AF064820.3|+|951-1776|ARO:3001417|OXA-22	penam, carbapenem
gb|JN714478.1|+|1034-2180|ARO:3002079|CMY-66	cephamycin
gb|GU827715.1|+|0-861|ARO:3001176|SHV-129	penam, carbapenem, cephalosporin
gb|U09991.1|+|27-1338|ARO:3002700|cmlv	phenicol
gb|X06599.1|+|272-1193|ARO:3002877|BcI	penem, cephalosporin
gb|AF231133.1|+|1345-2146|ARO:3001423|OXA-28	penam, carbapenem
gb|MH986670.1|+|0-813|ARO:3004868|NDM-25	penam, cephamycin, cephalosporin, carbapenem
gb|AJ437107.1|+|208-1069|ARO:3000900|TEM-30	penam, cephalosporin, penem, monobactam
gb|FN397623.1|+|1188-1641|ARO:3002852|arr-7	rifamycin
gb|U38243.1|+|149-1115|ARO:3003001|CfxA	cephamycin
gb|U41471.1|+|264-852|ARO:3002524|AAC(2')-Ib	aminoglycoside
gb|DQ058662.1|+|0-657|ARO:3002710|QnrA4	fluoroquinolone
gb|FJ624872.1|+|2-854|ARO:3002319|KPC-9	penam, cephalosporin, monobactam, carbapenem
gb|AJ295340.1|+|0-1173|ARO:3002515|OCH-2	penam, cephamycin, penem, cephalosporin, monobactam
gb|GU169702.1|+|608-1472|ARO:3002342|GES-13	penam, cephalosporin, carbapenem
gb|HM066995.1|+|0-882|ARO:3002321|KPC-11	penam, cephalosporin, monobactam, carbapenem
gb|AJ295342.1|+|0-1173|ARO:3002517|OCH-4	penam, cephamycin, penem, cephalosporin, monobactam
gb|FN396876.1|-|2406-3219|ARO:3000589|NDM-1	penam, cephamycin, cephalosporin, carbapenem
gb|EU541448.1|+|0-741|ARO:3002216|IMP-25	penem, cephamycin, penam, cephalosporin, carbapenem
gb|AJ746361.2|-|6742-7303|ARO:3003019|dfrA23	diaminopyrimidine
gb|Z30177.1|+|348-1224|ARO:3002389|OXY-1-1	monobactam, penam, cephalosporin
gb|AB715422.2|+|27225-27966|ARO:3002225|IMP-34	penem, cephamycin, penam, cephalosporin, carbapenem
gb|U56415.1|+|279-1719|ARO:3002884|iri	rifamycin
gb|U57969.1|+|294-1458|ARO:3000800|MexC	multidrug
gb|U57969.1|+|4622-6062|ARO:3000802|OprJ	multidrug
gb|AF357597.1|+|250-1399|ARO:3002021|CMY-10	cephamycin
gb|AY589494.1|+|193-1054|ARO:3000976|TEM-113	penam, cephalosporin, penem, monobactam
gb|M97297.1|+|3976-4671|ARO:3002919|vanR_in_vanA_cl	glycopeptide
gb|FJ228229.1|+|553-1198|ARO:3002788|QnrD1	fluoroquinolone
gb|KF730650.1|+|0-645|ARO:3002768|QnrB55	fluoroquinolone
gb|AF427129.1|+|208-1069|ARO:3000950|TEM-83	penam, cephalosporin, penem, monobactam
gb|KM087850.1|+|0-1140|ARO:3002148|DHA-17	cephamycin, cephalosporin
gb|JX121124.1|+|0-861|ARO:3001196|SHV-157	penam, carbapenem, cephalosporin
gb|AY769934.1|+|27-993|ARO:3003096|CfxA5	cephamycin
gb|M20305.1|+|778-1594|ARO:3002642|APH(3')-Ib	aminoglycoside
gb|EU815939.1|+|0-861|ARO:3001029|TEM-163	penam, cephalosporin, penem, monobactam
gb|CP020412.2|-|3537848-3539018|ARO:3004603|tet(56)	tetracycline
gb|X98047.1|+|0-843|ARO:3000911|TEM-42	penam, cephalosporin, penem, monobactam
gb|HQ713678.1|+|5756-6683|ARO:3002369|PER-7	penem, cephalosporin, carbapenem, penam, monobactam
gb|AF370885.1|+|4628-7736|ARO:3000775|adeB	multidrug
gb|Y16410.1|+|986-2126|ARO:3002132|DHA-1	cephamycin, cephalosporin
gb|KJ775801.1|+|0-882|ARO:3002329|KPC-19	penam, cephalosporin, monobactam, carbapenem
gb|GQ390806.1|+|0-813|ARO:3001171|SHV-124	penam, carbapenem, cephalosporin
gb|JF795538.1|+|0-861|ARO:3001374|TEM-185	penam, cephalosporin, penem, monobactam
gb|M12730.1|+|779-1514|ARO:3000250|ErmC	multidrug
gb|AF462611.1|+|0-846|ARO:3000605|Erm(36)	multidrug
gb|AF324833.1|+|0-900|ARO:3002378|VEB-9	cephalosporin, monobactam
gb|AJ549214.1|+|176-1604|ARO:3002704|fexA	phenicol
gb|KF648874.1|-|60996-61860|ARO:3002626|ANT(6)-Ia	aminoglycoside
gb|AF300985.1|+|0-739|ARO:3001430|OXA-36	penam, carbapenem
gb|Z21957.1|-|284-1211|ARO:3002363|PER-1	penem, cephalosporin, carbapenem, penam, monobactam
